Nama Outlet,Periode PO,Email / Tanggal Tukar Faktur,Sisa Tagihan
MS JACKSON,5-Jan-2026 s/d 11-Jan-2026,14-Jan-2026,Rp 995.000
MS JACKSON,12-Jan-2026 s/d 18-Jan-2026,21-Jan-2026,Rp 5.331.100
MS JACKSON,19-Jan-2026 s/d 25-Jan-2026,29-Jan-2026,Rp 3.383.500
MITRA BOGA KREASI PRIMA,26-Jan-2026 s/d 1-Feb-2026,3-Feb-2026,Rp 2.500
BAPAK DAMAR,26-Jan-2026 s/d 1-Feb-2026,3-Feb-2026,Rp 532.000
HOLYCOW BY CHEF AFIT - CIJANTUNG,26-Jan-2026 s/d 1-Feb-2026,3-Feb-2026,Rp 90.000
MS JACKSON,26-Jan-2026 s/d 1-Feb-2026,3-Feb-2026,Rp 3.737.050
DEMIE BAKMIE BINTARO,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 939.800
DEMIE BAKMIE BLOK M,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 1.229.500
DEMIE BAKMIE CENTRAL KITCHEN,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 16.069.640
DEMIE BAKMIE CILANDAK,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 1.907.150
DEMIE BAKMIE KEMANG,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 1.784.800
DEMIE BAKMIE KATERING,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 787.300
DEMIE BAKMIE MARGONDA,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 1.159.950
DEMIE BAKMIE MENTENG,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 2.576.400
DEMIE BAKMIE SENOPATI,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 1.426.900
DEMIE BAKMIE STORE,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 2.640.000
DEMIE BAKMIE TEBET,9-Feb-2026 s/d 15-Feb-2026,18-Feb-2026,Rp 1.631.100
PT MITRABOGA KREASI PRIMA,9-Feb-2026 s/d 15-Feb-2026,10-Feb-2026,Rp 2.500
DEMIE BAKMIE BINTARO,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 1.214.050
DEMIE BAKMIE BLOK M,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 1.892.820
DEMIE BAKMIE CENTRAL KITCHEN,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 32.604.300
DEMIE BAKMIE CILANDAK,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 1.818.800
DEMIE BAKMIE KEMANG,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 3.077.170
DEMIE BAKMIE MARGONDA,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 1.180.700
DEMIE BAKMIE MENTENG,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 3.717.930
DEMIE BAKMIE SENOPATI,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 1.936.640
DEMIE BAKMIE STORE,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 2.340.000
DEMIE BAKMIE TEBET,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 2.370.360
FRESH BOX,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 53.083.400
HOLYCOW BY CHEF AFIT - CITOS,16-Feb-2026 s/d 22-Feb-2026,26-Feb-2026,Rp 40.000
CENTRAL KITCHEN SEINDONESIA KIAT ANANDA,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 2.080
DEMIE BAKMIE BINTARO,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 1.319.690
DEMIE BAKMIE BLOK M,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 1.771.560
DEMIE BAKMIE CENTRAL KITCHEN,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 18.245.500
DEMIE BAKMIE CILANDAK,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 2.311.870
DEMIE BAKMIE KATERING,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 549.000
DEMIE BAKMIE KEMANG,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 2.053.160
DEMIE BAKMIE MARGONDA,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 1.593.700
DEMIE BAKMIE MENTENG,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 4.443.812
DEMIE BAKMIE SENOPATI,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 2.701.060
DEMIE BAKMIE TEBET,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 3.024.500
VIETNAMESE PHO 24 NOODLE,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 1.746.200
FRESH BOX,23-Feb-2026 s/d 1-Mar-2026,5-Mar-2026,Rp 40.601.000
DEMIE BAKMIE BINTARO,2-Mar-2026 s/d 8-Mar-2026,11-Mar-2026,Rp 1.252.490
DEMIE BAKMIE BLOK M,2-Mar-2026 s/d 8-Mar-2026,11-Mar-2026,Rp 1.674.380
DEMIE BAKMIE CENTRAL KITCHEN,2-Mar-2026 s/d 8-Mar-2026,11-Mar-2026,Rp 14.709.400
DEMIE BAKMIE CILANDAK,2-Mar-2026 s/d 8-Mar-2026,11-Mar-2026,Rp 2.317.160
DEMIE BAKMIE KEMANG,2-Mar-2026 s/d 8-Mar-2026,11-Mar-2026,Rp 2.297.700
DEMIE BAKMIE MARGONDA,2-Mar-2026 s/d 8-Mar-2026,11-Mar-2026,Rp 1.537.480
DEMIE BAKMIE MENTENG,2-Mar-2026 s/d 8-Mar-2026,11-Mar-2026,Rp 3.689.600
DEMIE BAKMIE SENOPATI,2-Mar-2026 s/d 8-Mar-2026,11-Mar-2026,Rp 1.995.620
