REKAP BELANJA DISMA JUNI 2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,TANGGAL,NAMA BARANG,QUANTITY,,HARGA TOTAL,HARGA SATUAN,SUPPLIER,PAYMENT,TGL BAYAR,INV,,,,,,,
1,01/06/26,HEAD LETTUCE,  5.00 ,Kg," Rp 150,000 "," Rp 30,000 ",,,,,BAGJA,"  2,306,500 ",PASAR,,,,
2,01/06/26,KABOCHA ORANGE,  30.00 ,Kg," Rp 600,000 "," Rp 20,000 ",,,,,,"  1,062,000 ",TOKO ERNI,,,,
3,01/06/26,PARSLEY,  0.50 ,Kg," Rp 50,000 "," Rp 100,000 ",,,,,,"  252,000 ",TCO,,,,
4,01/06/26,THYME FRESH,  0.50 ,Kg," Rp 100,000 "," Rp 200,000 ",,,,,,"  152,000 ",TCL,,,,
5,01/06/26,TOMATO BEEF,  1.00 ,Kg," Rp 40,000 "," Rp 40,000 ",,,,,,"  30,000 ",BENSIN MOTOR,,,,
6,01/06/26,BAWANG MERAH BESAR,  1.00 ,Kg," Rp 45,000 "," Rp 45,000 ",,,,,,"  25,000 ",BENSIN MOTOR BAGJA,,,,
7,01/06/26,CABAI RAWIT MERAH,  1.00 ,Kg," Rp 60,000 "," Rp 60,000 ",,,,,,"  20,000 ",PARKIR,,,,
8,01/06/26,THINWALL SAUCE CUP @25ML,  13.00 ,Pack," Rp 143,000 "," Rp 11,000 ",,,,,,,,,,,
9,01/06/26,RAGI INSTAN @500GR,  3.00 ,Pack," Rp 165,000 "," Rp 55,000 ",,,,,"  1,500,000 ","  3,847,500 ","  -2,347,500 ",UANG BAGJA√  ,,,
10,01/06/26,DETERGEN RINSO @1.4KG,  1.00 ,Pack," Rp 42,000 "," Rp 42,000 ",,,,,,,,,,,
11,01/06/26,BERAS PERA BMW @5KG,  1.00 ,Krg," Rp 99,500 "," Rp 99,500 ",,,,,,,,,,,
12,01/06/26,SANREMO FETTUCINI PASTA @500GR,  4.00 ,Pack," Rp 96,000 "," Rp 24,000 ",,,,,RIFAI,"  150,000 ",BENSIN,,,,
13,01/06/26,JAMUR CHAMPIGNON,  7.00 ,Kg," Rp 280,000 "," Rp 40,000 ",,,,,,"  102,000 ",E-TOLL,,,,
14,01/06/26,BASIL,  0.20 ,Kg," Rp 20,000 "," Rp 100,000 ",,,,,,"  6,000 ",PARKIR,,,,
15,01/06/26,PLASTIK SAMPAH HITAM HD 60X100,  7.00 ,Pack," Rp 77,000 "," Rp 11,000 ",,,,,,,,,,,
16,01/06/26,KANTONG PLASTIK PUTIH SIZE 35,  7.00 ,Pack," Rp 152,000 "," Rp 21,714 ",,,,,"  252,000 ","  258,000 ","  -6,000 ",UANG RIFAI√  ,,,
17,01/06/26,SELADA AIR,  0.10 ,Kg," Rp 5,000 "," Rp 50,000 ",,,,,,,,,,,
18,01/06/26,KYURI,  0.50 ,Kg," Rp 10,000 "," Rp 20,000 ",,,,,,,,,,,
19,01/06/26,ROSEMARY FRESH,  0.50 ,Kg," Rp 18,000 "," Rp 36,000 ",,,,,PAK IFAN,"  100,000 ",BENSIN,,,,
20,01/06/26,PLASTIK SEGITIGA (PEPING BAG),  1.00 ,Pack," Rp 10,000 "," Rp 10,000 ",,,,,,"  52,000 ",E-TOLL,,,,
21,01/06/26,PLASTIK KANTONG PUTIH UK 50,  3.00 ,Pack," Rp 144,000 "," Rp 48,000 ",,,,,,,,,,,
22,01/06/26,BAYCLIN @1000ML,  1.00 ,Btl," Rp 20,000 "," Rp 20,000 ",TOKO ERNI,BAGJA CASH,,,"  152,000 ","  152,000 ",,,,,
