LAPORAN KAS BCA DISMA BULAN JANUARI 2026;;;;;;
;;;;;;
TGL;KETERANGAN;SALDO AWAL;KAS MASUK;KAS KELUAR;SALDO AKHIR;
;;;;;;
;; Rp	10.859.879,30 ;;; Rp	10.859.879,30 ;
01-Jan;Pembelian Lestari 2Januari'26;;; Rp	1.775.000,00 ; Rp	9.084.879,30 ;
;Uang Belanja Hilman 2Januari'26;;; Rp	8.500.000,00 ; Rp	584.879,30 ;
02-Jan;Disma Operasional Cost Dari Bank Bri;; Rp	40.000.000,00 ;; Rp	40.584.879,30 ;
;Disma Operasional Cost Dari Bank Mandiri;; Rp	70.000.000,00 ;; Rp	110.584.879,30 ;
;Pembelian Pak Andi 2Januari'26;;; Rp	85.000.000,00 ; Rp	25.584.879,30 ;
;Pembelian Rafflesia 31Desember'25;;; Rp	350.000,00 ; Rp	25.234.879,30 ;
;Pembelian Pak Yana 31Desember'25;;; Rp	1.085.000,00 ; Rp	24.149.879,30 ;
;Pembelian Kentang Aviko Shoestring@2,5Kg 7Pack Shopee 2Januari'25;;; Rp	410.560,00 ; Rp	23.739.319,30 ;
;Pembelian Kentang Aviko Shoestring@2,5Kg 7Pack Shopee 2Januari'25;;; Rp	410.560,00 ; Rp	23.328.759,30 ;
;Pembelian Kentang Aviko Shoestring@2,5Kg 6Pack Shopee 2Januari'25;;; Rp	352.480,00 ; Rp	22.976.279,30 ;
;Marketing;;; Rp	136.000,00 ; Rp	22.840.279,30 ;
;Uang Belanja Hilman 31Desember'25;;; Rp	589.000,00 ; Rp	22.251.279,30 ;
;Marketing;;; Rp	150.000,00 ; Rp	22.101.279,30 ;
;Biaya Bank;;; Rp	2.500,00 ; Rp	22.098.779,30 ;
;Pembelian Delta Adib 31Desember'25;;; Rp	297.500,00 ; Rp	21.801.279,30 ;
;Pendanaan Angel Investor 1Bulan Balik;; Rp	104.950.000,00 ;; Rp	126.751.279,30 ;
;Pembelian Sajiku Tepung Serbaguna@220Gr 28Pack Shopee 2Januari'26;;; Rp	195.720,00 ; Rp	126.555.559,30 ;
;Pembelian Sunlight 4,5L@6Jrg Tokopedia 2Januari'26;;; Rp	555.240,00 ; Rp	126.000.319,30 ;
;Pembelian Pak Yana 2Januari'26;;; Rp	1.050.000,00 ; Rp	124.950.319,30 ;
;Pembelian BakingLand 2Januari'26;;; Rp	360.000,00 ; Rp	124.590.319,30 ;
;Pembelian Milac Gold Cooking Cream@1Ltr 12Pack Shopee 2Januari'26;;; Rp	861.163,00 ; Rp	123.729.156,30 ;
;Uang Harian Pak Purnomo 2Januari'26;;; Rp	600.000,00 ; Rp	123.129.156,30 ;
;Pembelian Aldiansyah 15-20Desember'25;;; Rp	34.733.500,00 ; Rp	88.395.656,30 ;
;Pembelian Tasmi Fresh 15-20Desember'25;;; Rp	40.514.000,00 ; Rp	47.881.656,30 ;
;Pembelian Suminto 15-17Desember'25;;; Rp	900.000,00 ; Rp	46.981.656,30 ;
;Pembelian Safira 2Januari'25;;; Rp	885.000,00 ; Rp	46.096.656,30 ;
;Uang Operasional Rifai 2Januari'25;;; Rp	72.000,00 ; Rp	46.024.656,30 ;
;Pembelian Lestari 3Januari'25;;; Rp	960.000,00 ; Rp	45.064.656,30 ;
;Uang Belanja Hilman 3Januari'26;;; Rp	6.500.000,00 ; Rp	38.564.656,30 ;
;Uang Harian Pak Ifan 2Januari'26;;; Rp	150.000,00 ; Rp	38.414.656,30 ;
;Uang Harian Pak Hendy 2Januari'26;;; Rp	100.000,00 ; Rp	38.314.656,30 ;
;Uang Transportasi Mingguan Marketing;;; Rp	200.000,00 ; Rp	38.114.656,30 ;
03-Jan;Pengembalian Dana Refund Sumpit Bambu@50Pcs 50Pack 30Desember'25;; Rp	345.999,00 ;; Rp	38.460.655,30 ;
;Pembelian Sumpit Bambu@50Pcs 50Pack Shopee 3Januari'26;;; Rp	317.400,00 ; Rp	38.143.255,30 ;
;Pembelian Tissue Plenty Kitchen Towel Rolls@2Pcs 24Pack Tokopedia 3Januari'25;;; Rp	333.030,00 ; Rp	37.810.225,30 ;
;Kembalian Uang Belanja Hilman 29Desember'25;; Rp	263.000,00 ;; Rp	38.073.225,30 ;
;Kembalian Uang Belanja Hilman 30Desember'25;; Rp	285.000,00 ;; Rp	38.358.225,30 ;
;Pembelian Pak Yana 3Januari'25;;; Rp	1.050.000,00 ; Rp	37.308.225,30 ;
;Pembelian Safira 3Januari'25;;; Rp	420.000,00 ; Rp	36.888.225,30 ;
;Pembelian BakingLand 3Januari'26;;; Rp	710.000,00 ; Rp	36.178.225,30 ;
;Pembelian Plastik PEJeruk 15x30 10Pack Shopee 3Januari'25;;; Rp	71.500,00 ; Rp	36.106.725,30 ;
;Uang Operasional Rifai 3Januari'25;;; Rp	52.000,00 ; Rp	36.054.725,30 ;
;Uang Belanja Hilman 5Januari'25;;; Rp	1.000.000,00 ; Rp	35.054.725,30 ;
;Marketing;;; Rp	345.546,00 ; Rp	34.709.179,30 ;
;Hilman Salan Transfer Ke Bca Pak Damar 3Januari'25;; Rp	2.050.000,00 ;; Rp	36.759.179,30 ;
;Pengembalian Salah Transfer Hilman 3Januari'25;;; Rp	2.050.000,00 ; Rp	34.709.179,30 ;
;Uang Harian Lalamove Pak Purnomo 2Mobil 3Januari'26;;; Rp	800.000,00 ; Rp	33.909.179,30 ;
;Uang Harian Pak Ifan 3Januari'26;;; Rp	150.000,00 ; Rp	33.759.179,30 ;
04-Jan;Marketing;;; Rp	100.000,00 ; Rp	33.659.179,30 ;
;Biaya Bank;;; Rp	2.500,00 ; Rp	33.656.679,30 ;
;Uang Harian Pak Hendy 3Januari'26;;; Rp	100.000,00 ; Rp	33.556.679,30 ;
;Uang Harian Pak Hendy 4Januari'26;;; Rp	150.000,00 ; Rp	33.406.679,30 ;
;Uang Harian Pak Ifan 4Januari'26;;; Rp	150.000,00 ; Rp	33.256.679,30 ;
;Uang Belanja Hilman 5Januari'25;;; Rp	15.500.000,00 ; Rp	17.756.679,30 ;
05-Jan;Pembelian Safira 4Januari'25;;; Rp	420.000,00 ; Rp	17.336.679,30 ;
;Pembelian Windmolen Cocoa Powder@165Gr 24Pack Shopee 5Januari'26;;; Rp	676.320,00 ; Rp	16.660.359,30 ;
;Pembelian Struk Thermal 80x80 24 Roll Shopee 5Januari'26;;; Rp	331.240,00 ; Rp	16.329.119,30 ;
;Pembelian BakingLand 5Januari'26;;; Rp	989.000,00 ; Rp	15.340.119,30 ;
;Uang Belanja Hilman 4Januari'25;;; Rp	3.500.000,00 ; Rp	11.840.119,30 ;
;Makan Anak-Anak 5Januari'26;;; Rp	201.000,00 ; Rp	11.639.119,30 ;
;Pengembalian Dana Refund Windmolen Cocoa Powder@165Gr 24Pack Shopee 5Januari'26;; Rp	673.820,00 ;; Rp	12.312.939,30 ;
;Pembelian Delta Adib 5Januari'25;;; Rp	577.500,00 ; Rp	11.735.439,30 ;
;Uang Belanja Hilman 6Januari'26;;; Rp	9.000.000,00 ; Rp	2.735.439,30 ;
;Uang Harian Pak Purnomo 5Januari'26;;; Rp	400.000,00 ; Rp	2.335.439,30 ;
;Uang Harian Pak Ifan 5Januari'26;;; Rp	150.000,00 ; Rp	2.185.439,30 ;
;Uang Harian Pak Hendy 5Januari'26;;; Rp	100.000,00 ; Rp	2.085.439,30 ;
06-Jan;Pembelian Mitra Kirim 6Jan'26;;; Rp	77.510,00 ; Rp	2.007.929,30 ;
;Pembelian Safira 6Januari'25;;; Rp	1.305.000,00 ; Rp	702.929,30 ;
;Service 2AC Kantor 6Januari'26;;; Rp	140.000,00 ; Rp	562.929,30 ;
;Disma Operasional Cost Dari Bank Bri;; Rp	40.000.000,00 ;; Rp	40.562.929,30 ;
;Pembelian Agro Boga 6Januari'26;;; Rp	1.980.000,00 ; Rp	38.582.929,30 ;
;Biaya Bank;;; Rp	2.500,00 ; Rp	38.580.429,30 ;
;Pembelian Windmolen Cocoa Powder@165Gr 24Pack Shopee 6Januari'26;;; Rp	820.800,00 ; Rp	37.759.629,30 ;
;Pembelian Pak Yana 6Januari'26;;; Rp	1.050.000,00 ; Rp	36.709.629,30 ;
;Pembelian Aa Alan 26Desember'26;;; Rp	4.036.000,00 ; Rp	32.673.629,30 ;
;Pembelian Diamond Uht Milk Palin@1Liter 17Pack Shopee 6Januari'26;;; Rp	340.585,00 ; Rp	32.333.044,30 ;
;Pembelian Segar Global 6Januari'26;;; Rp	780.000,00 ; Rp	31.553.044,30 ;
;Pembelian Sos Karbol Anti Bacterial@4Ltr 1Jrg Shopee 6Januari'26;;; Rp	51.878,00 ; Rp	31.501.166,30 ;
;Uang Operasional Rifai 5Januari'26;;; Rp	22.000,00 ; Rp	31.479.166,30 ;
;Pembelian Hijrah Food 6Januari'26;;; Rp	1.425.000,00 ; Rp	30.054.166,30 ;
;Pembelian Beras Thai Farm Hom Mali@5Kg 2Krg Tokopedia 6Januari'26;;; Rp	469.800,00 ; Rp	29.584.366,30 ;
;Pembelian Bernardi Corned Beef@290Gr 7Can Shopee 6Januari'26;;; Rp	363.996,00 ; Rp	29.220.370,30 ;
;Pembelian Kentang Aviko Shoestring@2,5Kg 8Pack Shopee 6Januari'26;;; Rp	489.760,00 ; Rp	28.730.610,30 ;
;Pembelian Mc Chain Spriral Twister Curly@1,8Kg 8Pack Shopee 6Januari'26;;; Rp	1.159.520,00 ; Rp	27.571.090,30 ;
;Marketing;;; Rp	45.000,00 ; Rp	27.526.090,30 ;
;Marketing;;; Rp	100.000,00 ; Rp	27.426.090,30 ;
;Marketing;;; Rp	50.000,00 ; Rp	27.376.090,30 ;
;Pembelian Lestari 7Januari'26;;; Rp	1.840.000,00 ; Rp	25.536.090,30 ;
;Uang Belanja Hilman 7Januari'26;;; Rp	6.500.000,00 ; Rp	19.036.090,30 ;
;Uang Harian Pak Ifan 6Januari'26;;; Rp	150.000,00 ; Rp	18.886.090,30 ;
07-Jan;Marketing;;; Rp	50.000,00 ; Rp	18.836.090,30 ;
;Biaya Bank;;; Rp	2.500,00 ; Rp	18.833.590,30 ;
;Marketing;;; Rp	23.000,00 ; Rp	18.810.590,30 ;
;Pembelian Delta Adib 7Januari'26;;; Rp	350.000,00 ; Rp	18.460.590,30 ;
;Pembelian BakingLand 7Januari'26;;; Rp	95.000,00 ; Rp	18.365.590,30 ;
;Uang Belanja Hilman 7Januari'26;;; Rp	184.000,00 ; Rp	18.181.590,30 ;
;Kembalian Uang Belanja Hilman 2Januari'26;; Rp	443.000,00 ;; Rp	18.624.590,30 ;
;Kembalian Uang Belanja Hilman 3Januari'26;; Rp	192.000,00 ;; Rp	18.816.590,30 ;
;Kembalian Uang Belanja Hilman 4Januari'26;; Rp	71.000,00 ;; Rp	18.887.590,30 ;
;Kembalian Uang Belanja Hilman 5Januari'26;; Rp	236.000,00 ;; Rp	19.123.590,30 ;
;Kembalian Uang Belanja Hilman 29Desember'25;; Rp	263.000,00 ;; Rp	19.386.590,30 ;
;Kembalian Uang Belanja Hilman 30Desember'25;; Rp	285.000,00 ;; Rp	19.671.590,30 ;
;Uang Harian Pak Ifan 7Januari'26;;; Rp	150.000,00 ; Rp	19.521.590,30 ;
