Nama_Outlet,Januari,Februari,Maret,April,Mei,Juni
ANIMO BREAD CINERE,0,0,5664000,0,0,0
ATSUMARU BAR,0,0,414000,0,0,0
ATSUMARU IZAKAYA,0,0,626500,4433000,0,0
BAKMIE TAAT,775000,824000,884000,814500,887450,283500
BAPAK ARCHIE,0,530950,3872900,0,0,0
BAPAK DAMAR,532000,0,157500,146250,0,0
BRIZOLA RESTAURANT,0,0,0,0,1607000,3305250
CENTRAL KITCHEN SEINDONESIA CIBINONG,8790000,34350000,0,0,0,1440000
CENTRAL KITCHEN SEINDONESIA KIAT ANANDA,241465000,392011600,158835000,455745000,276960000,241645000
CUAN YU,7642350,0,0,0,0,0
DAILY BREAD CAFE,1065250,0,0,0,0,0
DAILY BREAD EPICENTRUM,0,3056470,5136370,6683240,3612106,0
DAILY BREAD TEBET,0,0,2141000,842750,0,0
DEMIE BAKMIE BINTARO,4252400,4601340,2169540,0,0,0
DEMIE BAKMIE BLOK M,4607600,6208480,2827780,0,0,0
DEMIE BAKMIE CENTRAL KITCHEN,137005200,103651490,22605850,0,0,0
DEMIE BAKMIE CILANDAK,6299200,7737870,3809420,0,0,0
DEMIE BAKMIE KATERING,0,1336300,335000,0,0,0
DEMIE BAKMIE KEMANG,6404100,8742030,3608800,0,0,0
DEMIE BAKMIE MARGONDA,3631900,5008650,2587500,0,0,0
DEMIE BAKMIE MENTENG,8671700,14027342,6376400,0,0,0
DEMIE BAKMIE SENOPATI,5529800,7779800,3222380,0,0,0
DEMIE BAKMIE STORE,10686000,4980000,0,0,0,0
DEMIE BAKMIE TEBET,7609800,9074910,4349140,0,0,0
DEMIE CATERING,0,0,220000,0,0,0
FRESH BOX,152028650,393734400,0,0,0,0
GOAT COFFEE,0,974250,1719000,3310300,0,0
HEADQUARTER BAR & POOL,0,432000,0,0,0,0
HOLYCOW BY CHEF AFIT - ALAM SUTERA,2344500,4048000,3673500,2309500,1538500,897000
HOLYCOW BY CHEF AFIT - BATU TULIS,370000,3462500,0,520000,1861500,290000
HOLYCOW BY CHEF AFIT - BATUTULIS,0,0,2798000,300000,0,0
HOLYCOW BY CHEF AFIT - BEKASI,7361000,689000,26584000,10828000,2870000,1474500
HOLYCOW BY CHEF AFIT - BINTARO,4571500,2668500,6793500,1869500,1681500,806500
HOLYCOW BY CHEF AFIT - CIBUBUR,1268000,2391000,2896500,1725000,1484000,794000
HOLYCOW BY CHEF AFIT - CIJANTUNG,22613000,20429000,9042000,4592000,1295000,1141000
HOLYCOW BY CHEF AFIT - CITOS,3858000,2340500,5019500,3025500,2493500,1707000
HOLYCOW BY CHEF AFIT - FOODTRUCK,1340000,950000,810000,0,869000,232000
HOLYCOW BY CHEF AFIT - GADING SERPONG,1258500,686500,3510000,1528000,1740000,297800
HOLYCOW BY CHEF AFIT - KALIBATA CITY,3124500,1837000,3685500,1012000,1261500,316000
HOLYCOW BY CHEF AFIT - KALIMALANG,2823000,2439000,3866000,2541500,2285500,914000
HOLYCOW BY CHEF AFIT - KEBON JERUK,2988000,4672000,4870000,2937250,1457250,1700750
HOLYCOW BY CHEF AFIT - KELAPA GADING,1468000,2402500,3802000,1272000,1997500,517000
HOLYCOW BY CHEF AFIT - MAMPANG,626000,1405000,2589500,696000,1317000,1334500
HOLYCOW BY CHEF AFIT - PIK,240000,554000,2665500,570000,1870000,648500
HOLYCOW BY CHEF AFIT - WOLTER,1791000,1965500,3315000,2568000,2083000,1019000
HOLYCOW HERITAGE ARJUNA,2115000,1448500,2582410,1545250,1569500,930750
HOLYCOW WAREHOUSE STORED,265000,0,278000,91000,0,0
HOLYCOW WAREHOUSE WOLTER,0,291000,0,0,0,0
IBU DEBBY,520500,0,495500,0,0,0
IBU EUIS,0,0,279600,0,31200,0
IBU SYIFA,166000,0,110000,0,110000,0
JANKENDON,482500,438250,449500,0,397500,0
KEDAI MIE TJAP 1000 TAHUN BINTARO,1875000,1622500,2717500,982000,2073500,1884500
KEDAI MIE TJAP 1000 TAHUN CK BINTARO,5554300,6006300,18230000,7448400,9874160,6088780
KEDAI MIE TJAP 1000 TAHUN CK BINTARO (RAKER),209100,0,0,0,0,0
KEDAI MIE TJAP 1000 TAHUN SCBD,5590000,5196700,4706700,4009700,3829000,0
KEDAI MIE TJAP 1000 TAHUN Senopati,1984500,1597100,1543000,1696000,1406000,2948000
KENARA CATERING,0,1846000,0,1770750,0,0
KILO ASTHA,0,0,1612600,0,0,0
KILO TRINITY,0,0,1033250,0,0,0
KUALINARI CATERING,0,0,0,0,1730000,0
KYO COFFEE ASTHA,1007000,390000,521000,489000,277000,43000
KYO COFFEE JATIWARINGIN,16914000,12623000,18056000,13956000,15666000,7392500
MEAT A MEAT STEAK,8780100,10736600,14595500,9724400,10332400,4268000
MIDAZ SENAYAN GOLF,12120000,19934000,14767100,15504000,14258000,12256000
MITRA BOGA KREASI PRIMA,4000000,0,0,0,0,0
MOOKIE,3679332,5433100,4703000,7475800,8617900,4437000
MS JACKSON,13446650,0,0,0,0,0
NARASA,0,588750,3982800,6187650,2427500,0
PEPR BURGER SENAYAN,0,0,10348000,9772000,9730000,3965000
PEPR BURGER UF CIPETE,0,0,12218000,9782000,7257680,3528332
PT MITRA BOGA KREASI PRIMA,0,0,0,0,3400000,0
PT MITRABOGA KREASI PRIMA,0,6000000,2000000,7800000,0,3300000
RESTO SETO,0,0,2669685,0,0,0
RIVARENO PLAZA SENAYAN,2190000,2668000,4370000,3355000,3283000,1511000
RIVARENO URBAN FOREST CIPETE,2970440,2072000,3234000,1961000,2518000,1460000
RNI,4683000,0,0,0,0,0
SHOTS COFFEE,33924000,33305500,57166500,51585300,53770000,23026000
SIMPANG RAYA,0,0,0,20465000,16428000,4565000
SLICED PIZZA BINTARO,1311050,1383500,3679300,2861250,3848800,1464400
SLICED PIZZA BLOK M,0,0,15870850,10139800,11222900,3784400
SLICED PIZZA CIBIS,8205600,12023050,14942700,13051100,18261400,7286800
SLICED PIZZA CIKINI,63600,80000,0,0,0,0
SLICED PIZZA PONDOK PINANG,946400,1249750,3067400,2801350,2403050,1688450
SLICED PIZZA SCBD,1501350,2062900,3966200,2088700,3125900,2008700
SSI GROUP,1014900,0,0,0,0,0
SULU ADITYAWARMAN,0,0,0,1248900,0,0
THE HALAL GUYS SMB,0,0,0,3520670,4778575,2741438
VIETNAMESE PHO 24 NOODLE,10348000,22014200,19595500,8933500,15399000,4590000
