Nama Outlet,Total Order
ANIMO BREAD CINERE,"5,664,000"
ATSUMARU BAR,"414,000"
ATSUMARU IZAKAYA,"5,059,500"
BAKMIE TAAT,"3,689,950"
BAPAK ARCHIE,"4,403,850"
BAPAK DAMAR,"835,750"
CENTRAL KITCHEN SEINDONESIA CIBINONG,"43,140,000"
CENTRAL KITCHEN SEINDONESIA KIAT ANANDA,"1,358,946,600"
CUAN YU,0
DAILY BREAD CAFE,"1,065,250"
DAILY BREAD EPICENTRUM,"18,050,186"
DAILY BREAD TEBET,"2,983,750"
DEMIE BAKMIE BINTARO,"11,023,280"
DEMIE BAKMIE BLOK M,"13,643,860"
DEMIE BAKMIE CENTRAL KITCHEN,"263,262,540"
DEMIE BAKMIE CILANDAK,"17,846,490"
DEMIE BAKMIE KATERING,"1,671,300"
DEMIE BAKMIE KEMANG,"18,754,930"
DEMIE BAKMIE MARGONDA,"11,228,050"
DEMIE BAKMIE MENTENG,"29,075,442"
DEMIE BAKMIE SENOPATI,"16,531,980"
DEMIE BAKMIE STORE,"15,666,000"
DEMIE BAKMIE TEBET,"21,033,850"
DEMIE CATERING,"220,000"
FRESH BOX,"545,763,050"
GOAT COFFEE,"6,003,550"
HEADQUARTER BAR & POOL,"432,000"
HOLYCOW BY CHEF AFIT - ALAM SUTERA,"13,211,000"
HOLYCOW BY CHEF AFIT - BATU TULIS,"5,108,500"
HOLYCOW BY CHEF AFIT - BATUTULIS,"3,098,000"
HOLYCOW BY CHEF AFIT - BEKASI,"47,636,000"
HOLYCOW BY CHEF AFIT - BINTARO,"16,782,500"
HOLYCOW BY CHEF AFIT - CIBUBUR,"8,923,500"
HOLYCOW BY CHEF AFIT - CIJANTUNG,"57,652,000"
HOLYCOW BY CHEF AFIT - CITOS,"15,829,000"
HOLYCOW BY CHEF AFIT - FOODTRUCK,"3,225,000"
HOLYCOW BY CHEF AFIT - GADING SERPONG,"8,057,000"
HOLYCOW BY CHEF AFIT - KALIBATA CITY,"10,275,500"
HOLYCOW BY CHEF AFIT - KALIMALANG,"12,727,000"
HOLYCOW BY CHEF AFIT - KEBON JERUK,"16,547,250"
HOLYCOW BY CHEF AFIT - KELAPA GADING,"10,457,000"
HOLYCOW BY CHEF AFIT - MAMPANG,"5,826,500"
HOLYCOW BY CHEF AFIT - PIK,"5,089,500"
HOLYCOW BY CHEF AFIT - WOLTER,"10,796,500"
HOLYCOW HERITAGE ARJUNA,"8,502,660"
HOLYCOW WAREHOUSE STORED,"634,000"
HOLYCOW WAREHOUSE WOLTER,"291,000"
IBU DEBBY,"1,016,000"
IBU EUIS,"310,800"
IBU SYIFA,"332,000"
JANKENDON,"1,767,750"
KEDAI MIE TJAP 1000 TAHUN BINTARO,"8,457,000"
KEDAI MIE TJAP 1000 TAHUN CK BINTARO,"40,387,200"
KEDAI MIE TJAP 1000 TAHUN CK BINTARO (RAKER),"209,100"
KEDAI MIE TJAP 1000 TAHUN SCBD,"22,581,100"
KEDAI MIE TJAP 1000 TAHUN Senopati,"7,316,600"
KENARA CATERING,"3,616,750"
KILO ASTHA,"1,612,600"
KILO TRINITY,"1,033,250"
KUALINARI CATERING,"1,730,000"
KYO COFFEE ASTHA,"2,617,000"
KYO COFFEE JATIWARINGIN,"68,390,500"
MEAT A MEAT STEAK,"48,706,600"
MIDAZ SENAYAN GOLF,"4,491,000"
MITRA BOGA KREASI PRIMA,"4,000,000"
MOOKIE,"27,394,532"
MS JACKSON,"13,446,650"
NARASA,"12,162,200"
PEPR BURGER SENAYAN,"25,024,000"
PEPR BURGER UF CIPETE,"26,752,000"
PT MITRA BOGA KREASI PRIMA,"3,400,000"
PT MITRABOGA KREASI PRIMA,"15,800,000"
RESTO SETO,"2,669,685"
RIVARENO PLAZA SENAYAN,"13,984,000"
RIVARENO URBAN FOREST CIPETE,"11,332,440"
RNI,"4,683,000"
SHOTS COFFEE,"205,096,300"
SIMPANG RAYA,"29,204,000"
SLICED PIZZA BINTARO,"11,170,700"
SLICED PIZZA BLOK M,"31,124,450"
SLICED PIZZA CIBIS,"58,558,050"
SLICED PIZZA CIKINI,"143,600"
SLICED PIZZA PONDOK PINANG,"9,256,600"
SLICED PIZZA SCBD,"10,766,850"
SSI GROUP,"1,014,900"
SULU ADITYAWARMAN,"1,248,900"
THE HALAL GUYS SMB,"6,730,185"
VIETNAMESE PHO 24 NOODLE,"72,582,200"
TOTAL,"3,489,199,060"
